
══════════════════════════════════════════════════════════════════════════════
  PACKAGE                             LICENSE                     D  CATEGORY
══════════════════════════════════════════════════════════════════════════════
  absl-py                             Apache Software License     2  ✓ Permissive
  accelerate                          Apache                      2  ✓ Permissive
  addict                              MIT License                 2  ✓ Permissive
  aiofiles                            Apache-2.0                  2  ✓ Permissive
  aiohappyeyeballs                    PSF-2.0                     3  ✓ Permissive
  aiohttp                             Apache-2.0 AND MIT          2  ✓ Permissive
  aiohttp-retry                       MIT                         3  ✓ Permissive
  aiosignal                           Apache 2.0                  3  ✓ Permissive
  albucore                            MIT License           ...   2  ✓ Permissive
  albumentations                      MIT License           ...   1  ✓ Permissive
  amqp                                BSD                         3  ✓ Permissive
  annotated-doc                       Unknown                     4  ? Unknown
  annotated-types                     MIT License                 2  ✓ Permissive
  antlr4-python3-runtime              BSD                         2  ✓ Permissive
  anyio                               Unknown                     2  ? Unknown
  appdirs                             MIT                         3  ✓ Permissive
  arxiv                               MIT License                 2  ✓ Permissive
  arxiv-mcp-server                    Apache-2.0                  1  ✓ Permissive
  async-timeout                       Apache 2                    3  ✓ Permissive
  asyncssh                            EPL-2.0 OR GPL-2.0-or-...   3  △ Weak Copyleft
  atpublic                            Apache-2.0                  3  ✓ Permissive
  attrs                               Unknown                     2  ? Unknown
  billiard                            BSD                         3  ✓ Permissive
  bitsandbytes                        Unknown                     2  ? Unknown
  black                               Unknown                     2  ? Unknown
  celery                              BSD-3-Clause                2  ✓ Permissive
  certifi                             MPL-2.0                     3  △ Weak Copyleft
  cffi                                Unknown                     4  ? Unknown
  cfgv                                MIT                         2  ✓ Permissive
  charset-normalizer                  MIT                         3  ✓ Permissive
  click                               Unknown                     2  ? Unknown
  click-didyoumean                    MIT                         3  ✓ Permissive
  click-plugins                       New BSD                     3  ✓ Permissive
  click-repl                          MIT                         3  ✓ Permissive
  colorama                            BSD License                 2  ✓ Permissive
  configobj                           BSD-3-Clause                2  ✓ Permissive
